2025-02-09 14:40:44,139 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:40:48,838 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:48,839 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:40:48,839 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:40:48,840 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:41:06,284 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:41:06,286 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:41:06,287 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:41:06,288 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:41:20,194 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:41:20,195 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:41:20,196 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:41:20,196 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:41:40,266 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:41:40,267 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2025-02-09 14:41:40,268 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
